"search","socialmedia","termsconditions","age","behavior","interest","commercial","awareness","concern","regulation","comfort","F_internetuse","F_termsconditions","F_age","F_behavior","F_interest","F_commercial","F_awareness","F_concern","F_regulation","F_comfort","F_nationality"
2,2,2,58,1,2,3,2,3,4,2.33333333333333,"light_user","read","55+","agree","agree","disagree","agree","disagree","disagree","comfortable","BELGIUM"
2,2,2,29,1,2,3,2,3,2,2.66666666666667,"light_user","read","25-39","agree","agree","disagree","agree","disagree","agree","comfortable","BELGIUM"
3,2,3,22,2,1,4,2,2,3,3.33333333333333,"light_user","don't read","15-24","agree","agree","disagree","agree","agree","disagree","uncomfortable","BELGIUM"
1,1,1,47,1,2,2,1,1,1,3,"heavy_user","read","40-54","agree","agree","agree","agree","agree","agree","uncomfortable","BELGIUM"
3,5,3,30,2,2,2,3,2,2,2.33333333333333,"light_user","don't read","25-39","agree","agree","agree","disagree","agree","agree","comfortable","BELGIUM"
3,2,3,39,2,2,3,3,4,2,3,"light_user","don't read","25-39","agree","agree","disagree","disagree","disagree","agree","uncomfortable","BELGIUM"
1,3,3,30,3,1,3,3,2,2,2.66666666666667,"light_user","don't read","25-39","disagree","agree","disagree","disagree","agree","agree","comfortable","BELGIUM"
3,5,3,24,4,2,3,3,3,2,2,"light_user","don't read","15-24","disagree","agree","disagree","disagree","disagree","agree","comfortable","BELGIUM"
1,4,2,45,2,2,2,2,1,1,3,"light_user","read","40-54","agree","agree","agree","agree","agree","agree","uncomfortable","BELGIUM"
1,2,3,29,3,2,2,1,3,2,3.66666666666667,"light_user","don't read","25-39","disagree","agree","agree","agree","disagree","agree","uncomfortable","BELGIUM"
2,2,3,55,3,1,4,1,1,1,4,"light_user","don't read","55+","disagree","agree","disagree","agree","agree","agree","uncomfortable","BELGIUM"
1,1,3,18,1,1,1,1,1,1,1.33333333333333,"heavy_user","don't read","15-24","agree","agree","agree","agree","agree","agree","comfortable","BELGIUM"
1,1,3,26,2,1,2,2,2,3,3.33333333333333,"heavy_user","don't read","25-39","agree","agree","agree","agree","agree","disagree","uncomfortable","BELGIUM"
1,1,1,26,1,2,4,1,1,2,4,"heavy_user","read","25-39","agree","agree","disagree","agree","agree","agree","uncomfortable","BELGIUM"
1,2,3,47,4,3,4,1,1,1,4,"light_user","don't read","40-54","disagree","disagree","disagree","agree","agree","agree","uncomfortable","ITALY"
1,1,3,52,2,2,3,2,1,1,3.33333333333333,"heavy_user","don't read","40-54","agree","agree","disagree","agree","agree","agree","uncomfortable","BELGIUM"
1,5,3,41,2,2,4,1,4,4,2,"light_user","don't read","40-54","agree","agree","disagree","agree","disagree","disagree","comfortable","BELGIUM"
1,1,3,32,1,2,3,1,3,3,1,"heavy_user","don't read","25-39","agree","agree","disagree","agree","disagree","disagree","comfortable","BELGIUM"
5,1,3,38,1,1,4,1,3,1,1,"light_user","don't read","25-39","agree","agree","disagree","agree","disagree","agree","comfortable","BELGIUM"
1,1,3,37,3,2,4,2,2,2,3,"heavy_user","don't read","25-39","disagree","agree","disagree","agree","agree","agree","uncomfortable","BELGIUM"
1,1,3,50,3,2,2,1,1,1,3,"heavy_user","don't read","40-54","disagree","agree","agree","agree","agree","agree","uncomfortable","BELGIUM"
1,1,3,29,1,3,3,1,3,1,2,"heavy_user","don't read","25-39","agree","disagree","disagree","agree","disagree","agree","comfortable","BELGIUM"
1,1,1,34,3,1,3,2,2,3,2,"heavy_user","read","25-39","disagree","agree","disagree","agree","agree","disagree","comfortable","BELGIUM"
1,1,2,25,2,2,2,1,3,2,1,"heavy_user","read","25-39","agree","agree","agree","agree","disagree","agree","comfortable","OTHER COUNTRIES"
1,1,3,20,1,1,4,1,1,2,1,"heavy_user","don't read","15-24","agree","agree","disagree","agree","agree","agree","comfortable","BELGIUM"
1,3,3,30,4,2,4,1,4,4,3,"light_user","don't read","25-39","disagree","agree","disagree","agree","disagree","disagree","uncomfortable","BELGIUM"
1,1,1,29,2,1,2,2,1,2,2,"heavy_user","read","25-39","agree","agree","agree","agree","agree","agree","comfortable","BELGIUM"
